,total_case_count,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04
"Nicobar, AN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North & Middle Andman, AN",1.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"South Andman, AN",32.0,,,,,,,,,,,,,,,,,,,67.5,10.36,1.79,1.79,0.0,0.0,1.59,1.59,1.59,1.59,1.59,1.59,1.59,0.0,0.0,1.43,4.03,5.12,6.15,7.1,7.99,11.35,14.69,14.13,13.03,12.01,11.06,10.16,6.8,2.04,0.0,0.0,0.0
"Anantapur, AP",76.0,,,,,,,,,,,,,,,,,,,,,,,,21.43,38.1,38.1,40.29,33.15,18.86,18.86,23.63,7.67,7.67,8.88,8.88,10.53,12.5,9.03,8.32,10.7,8.66,10.21,8.56,6.59,5.57,6.67,5.06,5.15,4.48,5.93,5.93
"chittoor, AP",82.0,,,,,,,,,,,,,,,,,0.0,71.43,78.57,78.57,80.16,90.16,90.16,91.0,21.16,14.01,14.01,12.43,3.14,4.5,3.66,2.07,2.07,5.18,5.18,4.47,15.86,15.86,17.48,20.87,17.76,17.76,17.76,5.01,5.2,4.16,1.33,1.33,1.33,1.51,1.69
"East Godavari, AP",43.0,,,,,,,,,,,,,,0.0,0.0,28.57,33.33,51.19,51.19,54.37,54.37,54.37,25.79,21.03,3.17,4.47,7.25,7.25,7.25,7.25,7.25,7.25,5.95,0.0,1.68,5.44,6.63,6.63,6.63,9.93,10.82,10.4,6.64,5.45,5.45,5.84,3.29,2.4,2.21,2.21,2.21
"Guntur, AP",328.0,,,,,,,,,,,,,,,,,,63.89,63.89,49.6,42.46,42.46,43.41,29.57,14.9,15.48,17.44,14.49,15.82,16.26,15.58,13.82,13.24,11.64,7.45,6.47,7.36,4.91,5.65,7.13,7.6,7.81,7.46,6.7,6.89,6.82,5.55,5.7,5.59,6.11,5.46
"Krishna, AP",271.0,,,,,,,,,,,,,,26.19,26.19,26.19,29.76,44.05,43.57,43.57,42.06,42.06,42.59,39.01,13.5,6.84,6.84,3.59,3.59,3.48,6.75,4.02,4.99,6.21,10.97,12.23,12.78,10.05,10.24,9.6,10.69,9.46,13.19,15.0,15.37,15.71,16.0,13.7,10.88,6.34,4.23
"Kurnool, AP",488.0,,,,,,,,,,,,,,,,,,,,,42.86,,,,,,,,7.27,1.87,2.88,5.74,6.14,7.55,7.3,9.78,11.24,10.86,9.48,11.28,11.13,11.22,8.54,7.75,8.9,7.85,7.46,6.74,6.84,7.68,7.78
"Prakasam, AP",61.0,,,,,,,,,,,,0.0,0.0,28.57,28.57,28.57,66.67,71.86,73.77,73.77,48.56,49.92,50.54,12.44,9.63,13.34,14.07,11.06,9.7,9.07,9.07,6.69,1.08,0.35,0.68,0.68,0.68,0.68,1.98,2.57,3.43,2.75,3.56,3.56,3.56,3.28,2.69,1.83,2.07,1.26,1.26
"Nellore, AP",92.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,128.57,133.33,133.33,134.23,137.59,137.59,111.06,11.06,6.3,6.3,6.59,4.33,4.59,3.05,3.05,4.5,5.16,3.97,2.87,2.61,2.11,2.11,0.87,1.04,1.04,2.41,2.94,2.94,3.29,3.08,3.26,3.42,2.05
"Srikakulam, AP",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,8.33,3.57
"Visakhapatnam, AP",35.0,,,,,,,,,,,,21.43,26.19,26.19,19.05,11.9,21.43,22.86,22.86,23.29,23.29,16.15,20.91,11.39,9.96,9.96,4.76,4.76,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.71,0.71,0.71,1.39,1.39,1.39,0.68,0.68,0.68,1.33,0.65,1.89,4.18,4.18,7.13
"Vizianagaram, AP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West Godavari, AP",58.0,,,,,,,,,,,,,,,,,,,,,,,,,7.12,6.1,6.1,6.1,5.14,1.33,1.95,4.84,6.27,6.27,6.7,6.7,6.05,7.11,3.54,2.11,2.11,1.68,6.19,7.05,5.37,5.91,5.91,6.43,6.68,2.17,1.31
"Y.S.R., AP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anjaw, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Changlang, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"East Kameng, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"East Siang, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamle, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kra daadi, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kurung Kumey, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lepa Rada, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lohit, AR",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Longding, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lower Dibang valley, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lower Siang, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lower Subansiri, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Namsai, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pakke Kessang, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Papum Pare, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shi Yomi, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Siang, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tawang, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tirap, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dibang Valley, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Upper Siang, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Upper Subansiri, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West Kameng, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West Siang, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baksa, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barpeta, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Biswanath, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bongaigaon, AS",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cachar, AS",2.0,,,,,,,,,,,,,,,,,,,,,,,,14.29,14.29,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Charaideo, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chirang, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Darrang, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dhemaji, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dhubri, AS",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.19,26.19,11.9,11.9,11.9,11.9,4.76,0.0,0.0,3.57,3.57,3.57,3.57,3.57,3.57,3.57,0.0,0.0,0.0,0.0,0.0
"Dibrugarh, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dima Hasao, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Goalpara, AS",5.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,4.76,4.76,4.76,4.76,4.76,4.76,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,3.57,3.57,3.57,3.57,3.57,3.57
"Golaghat, AS",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hailakandi, AS",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hojai, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jorhat, AS",8.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kamrup, AS",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kamrup Metropolitan, AS",6.0,,,,,,,,,,,,,,,,,,,,,,,,,3.57,3.57,0.0,0.0,2.86,2.86,2.86,2.86,2.86,2.86,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Karbi Anglong, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Karimganj, AS",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kokrajhar, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lakhimpur, AS",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Majuli, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morigaon, AS",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,28.57,28.57,28.57,28.57,28.57,28.57,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nagaon, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nalbari, AS",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sivasagar, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sonitpur, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Salmara Mancachar, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tinsukia, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Udalguri, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West Karbi Anglong, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Araria, BR",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arwal, BR",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.86,3.57,3.57
"Aurangabad (Bihar), BR",13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.76,37.76,46.68,10.97
"Banka, BR",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.43,21.43,7.14,7.14,7.14,7.14
"Begusarai, BR",12.0,,,,,,,,,,,,,,,,,,,,,,,,,28.57,38.1,38.1,43.81,43.81,45.85,17.28,17.28,7.76,9.54,3.83,3.83,1.79,1.79,1.79,1.79,0.0,0.0,0.0,0.0,0.0,1.59,1.59,1.59,1.59,1.59,4.44
"Bhagalpur, BR",11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14,57.14,57.14,57.14,57.14,57.14,57.14,0.0,0.0,0.0,0.0,17.14,17.14
"Bhojpur, BR",18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29,64.29,64.29,67.46,67.46,68.76,61.62,61.62,11.62
"Buxar, BR",56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.57,50.0,53.57,39.29,39.29,25.57,33.26,33.26,15.76,12.75,13.56,13.56
"Darbhanga, BR",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.14
"Gaya, BR",6.0,,,,,,,,,,,,,,,,,,,,,,,,32.14,17.86,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,2.86,2.86,2.86,2.86,2.86,2.86,0.0,0.0,0.0
"Gopalganj, BR",18.0,,,,,,,,,,,,,,,,,,,,,,,,28.57,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86,42.86,50.0,50.0,50.0,50.0,50.0,7.14,7.14
"Jamui, BR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jehanabad, BR",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.86,42.86
"Kaimur (Bhabua), BR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Katihar, BR",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Khagaria, BR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kishanganj, BR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lakhisarai, BR",4.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86,42.86,42.86,42.86,42.86,42.86,42.86,0.0
"Madhepura, BR",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29,14.29,14.29,14.29
"Madhubani, BR",23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.11
"Munger, BR",101.0,,,,,,,,,,,,,,,42.86,42.86,42.86,42.86,28.57,28.57,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,20.75,20.75,20.75,23.43,23.43,28.69,26.31,10.14,24.9,25.6,23.6,28.29,23.34,23.34,21.62,6.86,6.15,6.55,1.86
"Muzaffarpur, BR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nalanda, BR",34.0,,,,,,,,,,,,,,,,,,,,14.29,14.29,14.29,14.29,14.29,0.0,0.0,0.0,0.0,0.0,7.14,7.14,21.43,21.43,23.81,23.81,29.93,45.65,45.65,33.01,33.01,32.11,32.11,25.98,3.57,3.57,1.92,1.92,0.88,0.88,0.88,0.43
"Nawada, BR",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pashchim Champaran, BR",11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Patna, BR",44.0,,,,,,,,,,,,,,,29.76,15.48,15.48,8.33,3.57,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,2.86,2.86,5.24,5.24,5.24,7.28,18.71,25.85,27.04,28.51,28.51,31.1,29.06,15.88,9.41,8.22,4.38,4.38,1.78
"Purba Champaran, BR",9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.14,57.14,57.14,57.14,11.43,11.43
"Purnia, BR",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
"Rohtas, BR",52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.56,115.94,34.85,37.07,32.99,23.46,8.23
"Saharsa, BR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samastipur, BR",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saran, BR",8.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,21.43,21.43,26.19,26.19,26.19,33.33,19.05,14.29,16.33,11.56
"Sheikhpura, BR",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sheohar, BR",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sitamarhi, BR",6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Siwan, BR",28.0,,,,,,,,,,,,,,,,,,,,60.0,60.0,60.0,60.0,12.38,12.38,32.38,30.71,30.71,30.71,30.71,21.19,21.19,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.0,0.0,0.0,0.53,0.53
"Supaul, BR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vaishali, BR",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,14.29,14.29,14.29,14.29,21.43,21.43,21.43,7.14,7.14,7.14
"Chandigarh, CH",101.0,,,,,,,,,,,,62.38,7.28,7.28,4.42,10.97,13.17,15.07,15.91,13.87,13.87,13.87,4.94,2.75,0.84,0.0,0.79,0.79,2.3,2.3,2.3,2.3,2.3,1.5,2.86,3.22,3.22,3.77,3.77,3.77,3.77,2.94,5.16,8.33,11.36,14.47,15.75,18.49,18.95,15.33,12.9
"Balod, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balodabazar, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balrampur (Chhattisgarh), CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bemetara, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bastar, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bijapur (Chhattisgarh), CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bilaspur (Chhattisgarh), CT",1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dakshin Bastar Dantewada, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dhamtari, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Durg, CT",9.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.29,114.29
"Gariyaband, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Janjgir - Champa, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jashpur, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kawardha, CT",6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kondagaon, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korba, CT",28.0,,,,,,,,,,,,,,,,,,,,,,,14.29,14.29,14.29,71.43,71.43,67.14,72.18,72.18,73.43,73.43,18.0,18.0,8.0,2.96,2.96,1.71,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Koriya, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mahasamund, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mungeli, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Narayanpur, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Raigarh (Chhattisgarh), CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Raipur, CT",7.0,,,,,,,,,,,,21.43,21.43,26.19,26.19,26.19,29.76,15.48,8.33,8.33,3.57,3.57,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,2.86,2.86,2.86,2.86,2.86,2.86,0.0,0.0,2.38
"Rajnandgaon, CT",1.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sukma, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Surajpur, CT",6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Surguja, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uttar Bastar Kanker, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uni District UT, DN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delhi, DL",4880.0,13.57,8.81,14.93,12.79,13.83,17.57,22.57,23.1,24.12,18.0,18.95,16.69,10.93,9.14,15.32,19.26,22.65,24.08,35.7,39.86,38.83,33.99,29.65,27.65,26.15,13.99,13.08,13.53,12.8,16.58,15.68,13.53,13.0,9.95,8.88,8.58,4.73,4.76,5.21,5.46,5.71,4.78,5.55,5.92,6.36,6.21,5.71,5.79,6.64,6.53,6.7
"North Goa, GA",6.0,,,,,,,,,,,,,,,,,,4.76,4.76,8.33,11.19,6.43,6.43,6.43,6.43,6.43,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
